频道,#genre#
三沙卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=ssws$r7d 8M FHD
农林卫视,http://36.129.204.120:880/DX50.m3u8
农林卫视,http://caiyehe.7766.org:9901/tsfile/live/1141_1.m3u8
延边卫视,https://live.125011.xyz/PLTV/ybtv/231205/ybws/index.m3u8$r1d 官源 HD
延边卫视,http://36.129.204.120:880/CCN45.m3u8
兵团卫视,http://36.129.204.120:880/DX51.m3u8
兵团卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=btws$r7d 1.3M SD
山东教育卫视,http://36.129.204.120:880/CCN161.m3u8
康巴卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=kbws$r7d 2.5M SD
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
